facility,strain,Fraction Aligned To Target Genome,fastqc,plate,row,column,Fraction of Genome with >=0.75 Median Coverage
SAN,C3H,0.953357713,/data01/repository/do3632/do3632_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80400.0_SAN09p1.fq_fastqc.txt.gz,1,A,1,0.942307692
SAN,C3H,0.957171641,/data01/repository/do3632/do3632_unk_HCC_nodule_unk_C3HHeJC3H80400.0_SAN01p1.fq_fastqc.txt.gz,1,A,2,0.934615385
SAN,C3H,0.955266169,/data01/repository/do3632/do3632_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80400.0_SAN04p1.fq_fastqc.txt.gz,1,A,3,0.942307692
SAN,C3H,0.955402811,/data01/repository/do3632/do3632_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80400.0_SAN05p1.fq_fastqc.txt.gz,1,A,4,0.942307692
SAN,C3H,0.953152366,/data01/repository/do3632/do3632_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80400.0_SAN06p1.fq_fastqc.txt.gz,1,A,5,0.942307692
SAN,C3H,0.954584487,/data01/repository/do3632/do3632_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80400.0_SAN07p1.fq_fastqc.txt.gz,1,A,6,0.946153846
SAN,C3H,0.954909959,/data01/repository/do3632/do3632_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80400.0_SAN08p1.fq_fastqc.txt.gz,1,A,7,0.942307692
SAN,C3H,0.954191361,/data01/repository/do3632/do3632_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80400.0_SAN10p1.fq_fastqc.txt.gz,1,A,8,0.946153846
SAN,C3H,0.952470708,/data01/repository/do3633/do3633_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80627.0_SAN07p1.fq_fastqc.txt.gz,1,A,9,0.923076923
SAN,C3H,0.953442882,/data01/repository/do3633/do3633_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80627.0_SAN04p1.fq_fastqc.txt.gz,1,A,10,0.926923077
SAN,C3H,0.951089247,/data01/repository/do3633/do3633_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80627.0_SAN06p1.fq_fastqc.txt.gz,1,A,11,0.923076923
SAN,C3H,0.951587196,/data01/repository/do3633/do3633_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80627.0_SAN09p1.fq_fastqc.txt.gz,1,A,12,0.923076923
SAN,C3H,0.952514972,/data01/repository/do3633/do3633_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80627.0_SAN10p1.fq_fastqc.txt.gz,1,B,1,0.923076923
SAN,C3H,0.952883884,/data01/repository/do3633/do3633_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80627.0_SAN08p1.fq_fastqc.txt.gz,1,B,2,0.919230769
SAN,C3H,0.955381784,/data01/repository/do3633/do3633_unk_HCC_nodule_unk_C3HHeJC3H80627.0_SAN01p1.fq_fastqc.txt.gz,1,B,3,0.915384615
SAN,C3H,0.953725124,/data01/repository/do3633/do3633_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H80627.0_SAN05p1.fq_fastqc.txt.gz,1,B,4,0.919230769
SAN,C3H,0.952356125,/data01/repository/do3634/do3634_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H81151.0_SAN09p1.fq_fastqc.txt.gz,1,B,5,0.946153846
SAN,C3H,0.954224797,/data01/repository/do3634/do3634_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H81151.0_SAN04p1.fq_fastqc.txt.gz,1,B,6,0.946153846
